混合拟合区间判断：
1）[a1,a2]：表如下
z值区间 | 点的个数
--------------------
[-4.8, -4.7) | 888
[-4.7, -4.6) | 528
[-4.6, -4.5) | 302
[-4.5, -4.4) | 229
[-4.4, -4.3) | 152
[-4.3, -4.2) | 156
[-4.2, -4.1) | 125
[-4.1, -4.0) | 138
[-4.0, -3.9) | 157
[-3.9, -3.8) | 161
[-3.8, -3.7) | 126
[-3.7, -3.6) | 158
[-3.6, -3.5) | 146
[-3.5, -3.4) | 140
[-3.4, -3.3) | 144
[-3.3, -3.2) | 130
[-3.2, -3.1) | 160
[-3.1, -3.0) | 153
[-3.0, -2.9) | 146
[-2.9, -2.8) | 142
[-2.8, -2.7) | 145
[-2.7, -2.6) | 144
[-2.6, -2.5) | 141
[-2.5, -2.4) | 143
[-2.4, -2.3) | 140
[-2.3, -2.2) | 133
[-2.2, -2.1) | 150
[-2.1, -2.0) | 165
[-2.0, -1.9) | 150
[-1.9, -1.8) | 128
[-1.8, -1.7) | 295
[-1.7, -1.6) | 0
--------------------

2）[a3,a4]：表如下
z值区间 | 点的个数
--------------------
[-4.8, -4.7) | 638
[-4.7, -4.6) | 248
[-4.6, -4.5) | 163
[-4.5, -4.4) | 119
[-4.4, -4.3) | 104
[-4.3, -4.2) | 105
[-4.2, -4.1) | 109
[-4.1, -4.0) | 113
[-4.0, -3.9) | 108
[-3.9, -3.8) | 112
[-3.8, -3.7) | 112
[-3.7, -3.6) | 98
[-3.6, -3.5) | 119
[-3.5, -3.4) | 111
[-3.4, -3.3) | 114
[-3.3, -3.2) | 108
[-3.2, -3.1) | 106
[-3.1, -3.0) | 113
[-3.0, -2.9) | 117
[-2.9, -2.8) | 106
[-2.8, -2.7) | 106
[-2.7, -2.6) | 110
[-2.6, -2.5) | 179
[-2.5, -2.4) | 115
[-2.4, -2.3) | 111
[-2.3, -2.2) | 115
[-2.2, -2.1) | 114
[-2.1, -2.0) | 114
[-2.0, -1.9) | 137
[-1.9, -1.8) | 109
[-1.8, -1.7) | 417
[-1.7, -1.6) | 0
--------------------

3）[a5,a6]：表如下
z值区间 | 点的个数
--------------------
[-4.8, -4.7) | 741
[-4.7, -4.6) | 195
[-4.6, -4.5) | 146
[-4.5, -4.4) | 115
[-4.4, -4.3) | 102
[-4.3, -4.2) | 107
[-4.2, -4.1) | 110
[-4.1, -4.0) | 110
[-4.0, -3.9) | 110
[-3.9, -3.8) | 107
[-3.8, -3.7) | 113
[-3.7, -3.6) | 104
[-3.6, -3.5) | 112
[-3.5, -3.4) | 111
[-3.4, -3.3) | 113
[-3.3, -3.2) | 105
[-3.2, -3.1) | 113
[-3.1, -3.0) | 110
[-3.0, -2.9) | 115
[-2.9, -2.8) | 110
[-2.8, -2.7) | 115
[-2.7, -2.6) | 115
[-2.6, -2.5) | 104
[-2.5, -2.4) | 120
[-2.4, -2.3) | 87
[-2.3, -2.2) | 102
[-2.2, -2.1) | 127
[-2.1, -2.0) | 93
[-2.0, -1.9) | 146
[-1.9, -1.8) | 165
[-1.8, -1.7) | 367
[-1.7, -1.6) | 0
--------------------
